store_id,status,timestamp_utc
8419540000000000000    ,active,2023-01-22 12:09:39.388884 UTC
54515500000000000    ,active,2023-01-24 09:06:42.605777 UTC
8377470000000000000    ,active,2023-01-24 09:07:26.441407 UTC
5955340000000000000    ,active,2023-01-24 09:08:07.634899 UTC
1169350000000000000    ,active,2023-01-24 09:08:18.436854 UTC
3739730000000000000    ,active,2023-01-24 09:08:23.138922 UTC
4430370000000000000    ,active,2023-01-24 09:09:37.456563 UTC
1912560000000000000    ,active,2023-01-24 09:09:58.684489 UTC
5489550000000000000    ,active,2023-01-24 09:10:28.873707 UTC
759602000000000000    ,active,2023-01-19 06:07:21.331383 UTC
5627900000000000000    ,active,2023-01-24 14:01:52.138196 UTC
2651690000000000000    ,active,2023-01-25 13:04:00.152582 UTC
5043050000000000000    ,active,2023-01-21 16:00:49.46544 UTC
2367300000000000000    ,active,2023-01-21 16:01:36.311245 UTC
6613900000000000000    ,active,2023-01-21 16:02:05.815869 UTC
1396650000000000000    ,active,2023-01-21 16:02:13.198837 UTC
837700000000000000    ,active,2023-01-20 17:04:14.098493 UTC
2057960000000000000    ,active,2023-01-21 17:15:29.921161 UTC
6108570000000000000    ,active,2023-01-21 17:15:36.013705 UTC
7815590000000000000    ,active,2023-01-21 17:15:39.285005 UTC
7493930000000000000    ,active,2023-01-21 17:15:43.777556 UTC
7961040000000000000    ,active,2023-01-24 05:58:13.493839 UTC
605803000000000000    ,active,2023-01-24 05:58:22.253512 UTC
5278380000000000000    ,active,2023-01-24 05:58:35.019985 UTC
8494750000000000000    ,active,2023-01-24 05:59:35.717711 UTC
4858830000000000000    ,active,2023-01-24 06:00:06.282107 UTC
7555750000000000000    ,active,2023-01-24 06:00:09.856329 UTC
8625020000000000000    ,active,2023-01-24 06:01:30.549983 UTC
4159150000000000000    ,active,2023-01-24 06:01:48.829267 UTC
8157360000000000000    ,active,2023-01-24 06:02:06.671383 UTC
3595150000000000000    ,active,2023-01-24 08:08:22.366068 UTC
5693930000000000000    ,active,2023-01-24 08:09:45.795033 UTC
8631500000000000000    ,active,2023-01-24 08:10:02.700743 UTC
7369220000000000000    ,active,2023-01-24 08:10:33.505185 UTC
5733390000000000000    ,active,2023-01-24 09:00:46.942944 UTC
4681740000000000000    ,active,2023-01-24 09:01:32.991896 UTC
2567730000000000000    ,active,2023-01-24 09:01:33.08028 UTC
284239000000000000    ,active,2023-01-24 09:01:46.901535 UTC
6656460000000000000    ,active,2023-01-25 17:01:33.08729 UTC
9184110000000000000    ,active,2023-01-25 17:01:47.001499 UTC
6031570000000000000    ,active,2023-01-25 17:03:15.216687 UTC
9111810000000000000    ,active,2023-01-25 17:04:28.386537 UTC
8750490000000000000    ,active,2023-01-25 17:13:14.314139 UTC
3048410000000000000    ,active,2023-01-25 17:14:39.546335 UTC
3983790000000000000    ,active,2023-01-22 13:01:57.541752 UTC
5047150000000000000    ,active,2023-01-22 13:02:23.32053 UTC
7933950000000000000    ,active,2023-01-24 17:02:46.924337 UTC
379226000000000000    ,active,2023-01-24 17:03:38.648073 UTC
1253360000000000000    ,active,2023-01-24 17:03:39.528946 UTC
4755930000000000000    ,active,2023-01-24 13:04:52.996699 UTC
8803890000000000000    ,active,2023-01-24 13:06:07.451867 UTC
6836030000000000000    ,active,2023-01-25 07:12:14.807753 UTC
2639750000000000000    ,active,2023-01-25 08:01:11.304168 UTC
1040730000000000000    ,active,2023-01-25 08:01:25.493818 UTC
8304910000000000000    ,active,2023-01-25 08:03:35.488792 UTC
3361280000000000000    ,active,2023-01-24 19:04:58.044409 UTC
2601620000000000000    ,active,2023-01-24 19:05:06.491585 UTC
8207760000000000000    ,active,2023-01-24 19:08:20.564245 UTC
4249300000000000000    ,active,2023-01-21 23:03:19.159515 UTC
881974000000000000    ,active,2023-01-25 03:02:21.151826 UTC
4031770000000000000    ,active,2023-01-25 15:01:08.85142 UTC
8117250000000000000    ,active,2023-01-25 15:01:26.666202 UTC
5223120000000000000    ,active,2023-01-25 15:02:37.736233 UTC
5281150000000000000    ,active,2023-01-24 22:04:47.935159 UTC
7103250000000000000    ,active,2023-01-24 22:05:30.813682 UTC
6937870000000000000    ,active,2023-01-24 22:05:32.597802 UTC
4359900000000000000    ,active,2023-01-24 22:05:34.178899 UTC
8668950000000000000    ,active,2023-01-24 22:06:09.810504 UTC
329698000000000000    ,active,2023-01-24 22:06:21.237524 UTC
2873840000000000000    ,active,2023-01-24 22:07:09.690768 UTC
1634980000000000000    ,active,2023-01-19 20:10:40.15454 UTC
8754040000000000000    ,active,2023-01-24 23:00:37.675951 UTC
8478660000000000000    ,active,2023-01-24 23:01:00.176339 UTC
3173530000000000000    ,active,2023-01-24 23:01:12.178654 UTC
1172780000000000000    ,active,2023-01-24 23:01:20.331624 UTC
8050900000000000000    ,active,2023-01-24 23:01:26.483115 UTC
3485380000000000000    ,active,2023-01-25 10:12:16.118661 UTC
7791570000000000000    ,active,2023-01-25 11:02:42.259213 UTC
7647800000000000000    ,active,2023-01-25 11:03:07.295786 UTC
7372390000000000000    ,active,2023-01-25 11:03:29.467753 UTC
1886090000000000000    ,active,2023-01-25 11:04:58.483557 UTC
1921230000000000000    ,active,2023-01-25 11:05:45.58739 UTC
2670800000000000000    ,active,2023-01-25 11:05:57.750103 UTC
2529970000000000000    ,active,2023-01-19 17:00:27.412409 UTC
3390150000000000000    ,active,2023-01-19 17:00:34.642318 UTC
2723170000000000000    ,active,2023-01-19 17:00:39.388891 UTC
3457170000000000000    ,active,2023-01-19 17:03:03.899355 UTC
1557690000000000000    ,active,2023-01-19 17:04:28.588741 UTC
4395690000000000000    ,active,2023-01-25 13:06:39.780262 UTC
3480540000000000000    ,active,2023-01-25 13:06:44.992108 UTC
8080180000000000000    ,active,2023-01-25 13:08:44.604298 UTC
4894790000000000000    ,active,2023-01-25 14:00:48.208054 UTC
6529730000000000000    ,active,2023-01-25 14:03:41.134291 UTC
2937300000000000000    ,active,2023-01-25 14:05:58.143832 UTC
7257060000000000000    ,active,2023-01-24 05:54:49.493789 UTC
3151530000000000000    ,active,2023-01-24 05:54:54.692658 UTC
8258800000000000000    ,active,2023-01-24 05:57:10.818206 UTC
6614520000000000000    ,active,2023-01-24 05:57:28.659871 UTC
1826440000000000000    ,active,2023-01-20 14:04:55.444182 UTC
